id,target_credit_approval,company_name,sector,creation_year,number_employes,revenues_million,bankruptcy,debts,loan_before,partner_debts,financial_restrictions,purchase_past,purchase_mean_million,purchase_countdays,purchase_payments,purchase_frequency,interest_rate,right_payment
1,false,"ClubCorp Holdings, Inc.",Hotels/Resorts,2001,235,$351.33,false,true,false,false,false,false,$0.13,319,1,Once,4.1,true
2,true,Eaton Vance NextShares Trust,n/a,2011,459,$286.56,false,true,false,false,false,false,$0.16,66,8,Seldom,2.6,true
3,true,Total S.A.,Oil & Gas Production,1968,41,$86.05,true,true,false,false,false,true,$3.23,125,3,Monthly,1.7,false
4,false,CRH PLC,Building Materials,1987,201,$82.00,false,true,false,false,true,true,$6.14,346,11,Seldom,3.5,true
5,false,CRISPR Therapeutics AG,Biotechnology: Biological Products (No Diagnostic Substances),2008,697,$124.22,false,false,false,true,true,true,$8.13,33,12,Often,0.5,true
6,true,Nuveen Core Equity Alpha Fund,n/a,2002,124,$362.56,true,true,true,false,true,true,$9.68,246,1,Often,0.4,false
7,false,"MIDSTATES PETROLEUM COMPANY, INC.",Oil & Gas Production,1997,774,$43.90,false,true,true,false,true,false,$4.35,347,8,Never,2.5,false
8,true,FinTech Acquisition Corp. II,Business Services,2004,801,$484.04,true,true,true,false,false,true,$3.27,194,7,Seldom,3.7,false
9,true,"UFP Technologies, Inc.",Containers/Packaging,1999,516,$159.10,false,true,true,true,false,false,$8.49,60,7,Once,4.1,false
10,false,"Retail Properties of America, Inc.",Real Estate Investment Trusts,1998,655,$438.93,true,true,false,false,true,false,$3.96,61,12,Once,3.3,true
11,true,Novo Nordisk A/S,Major Pharmaceuticals,2005,514,$295.04,false,false,false,false,false,true,$4.23,284,7,Daily,0.3,true
12,false,ENSCO plc,Oil & Gas Production,1986,273,$53.51,false,true,true,false,true,true,$0.06,229,6,Monthly,2.3,false
13,true,"ConnectOne Bancorp, Inc.",Major Banks,2012,621,$205.25,true,true,false,true,false,false,$0.57,318,6,Monthly,4.6,true
14,true,"SK Telecom Co., Ltd.",Telecommunications Equipment,1992,744,$184.36,false,true,true,true,true,true,$0.13,36,2,Once,2.3,true
15,false,Amaya Inc.,"Computer Software: Programming, Data Processing",1992,639,$41.76,false,false,true,true,true,true,$2.22,244,9,Yearly,1.0,true
16,true,"B&G Foods, Inc.",Packaged Foods,2006,644,$429.63,false,false,false,false,true,true,$5.75,97,2,Monthly,3.3,true
17,false,"Atlas Financial Holdings, Inc.",Property-Casualty Insurers,1994,95,$30.87,true,false,false,true,false,false,$0.74,179,11,Monthly,4.6,true
18,true,Carnival Corporation,Marine Transportation,1998,85,$29.71,true,false,true,false,true,false,$5.74,322,7,Once,1.8,false
19,true,"pdvWireless, Inc.",Telecommunications Equipment,1995,372,$26.95,false,false,false,true,false,false,$7.07,206,4,Monthly,3.1,true
20,true,Pebblebrook Hotel Trust,n/a,2010,512,$51.03,true,true,true,false,true,false,$7.67,335,5,Never,2.1,false
21,false,"Codexis, Inc.",Major Chemicals,1984,277,$57.83,true,false,true,true,true,true,$1.59,20,10,Weekly,3.5,false
22,false,"Surgery Partners, Inc.",Hospital/Nursing Management,1963,539,$233.55,false,false,false,false,true,true,$4.22,315,8,Monthly,2.4,false
23,false,Concurrent Computer Corporation,Computer Manufacturing,1989,342,$438.92,true,false,true,true,true,true,$7.50,117,5,Never,4.0,true
24,true,Acceleron Pharma Inc.,Biotechnology: Biological Products (No Diagnostic Substances),1974,679,$12.93,true,false,true,true,false,true,$7.93,278,6,Once,0.2,false
25,true,"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc.",n/a,1995,18,$208.92,false,true,false,true,true,true,$9.89,106,8,Yearly,2.9,true
26,false,National Retail Properties,n/a,2003,338,$137.20,true,false,true,true,false,true,$5.57,143,6,Once,4.4,true
27,true,PowerShares Variable Rate Investment Grade Portfolio,n/a,2007,372,$120.93,true,true,true,true,true,true,$0.14,348,10,Never,4.9,true
28,false,"Micronet Enertec Technologies, Inc.",Electrical Products,1988,377,$114.09,false,false,false,true,false,false,$3.51,313,5,Often,4.6,true
29,false,China Southern Airlines Company Limited,Air Freight/Delivery Services,1998,633,$430.40,false,true,false,false,true,false,$2.33,325,9,Never,4.6,true
30,false,Gladstone Capital Corporation,n/a,2007,382,$100.32,false,false,false,false,true,false,$4.64,56,4,Yearly,4.8,false
31,true,Alphabet Inc.,"Computer Software: Programming, Data Processing",2012,662,$138.39,true,true,true,false,false,true,$4.73,159,5,Daily,1.5,true
32,true,"Aquinox Pharmaceuticals, Inc.",Major Pharmaceuticals,2009,222,$457.72,true,true,true,false,false,false,$8.94,267,10,Often,2.2,false
33,true,"Plantronics, Inc.",Telecommunications Equipment,2008,395,$6.30,true,true,true,true,true,true,$2.98,328,1,Often,2.5,true
34,true,"FLIR Systems, Inc.",Industrial Machinery/Components,2008,65,$195.77,false,false,false,false,false,false,$2.42,115,6,Never,0.9,false
35,true,"Aptose Biosciences, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),2006,541,$218.11,false,false,true,false,false,false,$4.40,246,5,Never,3.3,false
36,true,"Fate Therapeutics, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),1994,624,$278.25,false,false,false,false,false,true,$1.14,41,8,Yearly,2.7,false
37,true,Costamare Inc.,n/a,2006,753,$353.75,true,true,true,false,true,false,$4.43,37,9,Weekly,4.0,true
38,false,Silver Standard Resources Inc.,Precious Metals,2006,833,$309.32,false,true,false,false,false,false,$0.14,45,5,Often,0.7,false
39,true,First Trust Indxx Global Natural Resources Income ETF,n/a,1987,387,$77.42,false,false,false,true,false,true,$1.82,276,12,Weekly,2.9,false
40,true,"MSC Industrial Direct Company, Inc.",Industrial Machinery/Components,1996,116,$255.05,false,true,true,true,true,false,$1.03,327,11,Monthly,3.4,false
41,true,Virtus Global Multi-Sector Income Fund,n/a,2005,684,$267.63,false,false,false,true,false,true,$8.05,274,7,Daily,2.0,false
42,true,WashingtonFirst Bankshares Inc,Major Banks,2010,114,$462.89,false,true,true,true,false,false,$9.69,183,7,Never,3.3,false
43,true,"DHT Holdings, Inc.",Marine Transportation,1989,756,$58.05,true,false,true,true,false,false,$7.82,208,12,Seldom,3.4,false
44,true,Perion Network Ltd,EDP Services,1995,615,$48.26,true,false,false,false,false,true,$1.28,189,9,Daily,1.0,false
45,true,Cushing Renaissance Fund (The),n/a,2010,731,$352.17,true,true,true,true,true,false,$0.43,271,2,Seldom,3.4,true
46,true,"Customers Bancorp, Inc",n/a,1993,787,$257.23,true,true,true,false,false,false,$4.59,160,10,Monthly,2.3,true
47,true,Capitala Finance Corp.,n/a,1991,946,$190.86,true,true,false,true,false,false,$3.77,101,7,Often,0.5,true
48,true,"Century Bancorp, Inc.",Major Banks,1999,472,$65.26,true,false,false,false,true,false,$9.76,77,10,Seldom,2.7,true
49,true,"Sound Financial Bancorp, Inc.",Savings Institutions,2005,451,$33.61,false,false,true,true,true,true,$4.88,54,11,Seldom,1.0,true
50,true,Ryanair Holdings plc,Air Freight/Delivery Services,1993,669,$436.09,true,false,false,false,true,false,$2.21,102,1,Weekly,2.6,true
51,true,iShares MSCI EAFE Small-Cap ETF,n/a,2008,27,$80.40,false,true,true,true,true,true,$1.98,48,3,Never,2.6,false
52,true,PowerShares International BuyBack Achievers Portfolio,n/a,1993,776,$267.09,true,true,true,true,true,true,$9.13,127,2,Yearly,1.4,false
53,true,pSivida Corp.,Biotechnology: Laboratory Analytical Instruments,1994,489,$170.08,false,false,true,true,false,true,$8.30,16,7,Seldom,1.6,false
54,false,"T2 Biosystems, Inc.",Medical/Dental Instruments,1995,5,$23.65,true,false,true,false,false,false,$6.35,233,1,Once,3.9,false
55,true,InVivo Therapeutics Holdings Corp.,Medical/Dental Instruments,2006,608,$66.15,true,true,false,false,false,false,$7.67,299,7,Never,1.4,false
56,true,Advantage Oil & Gas Ltd,Oil & Gas Production,2005,598,$395.84,true,false,false,false,false,true,$3.49,327,9,Once,0.5,false
57,true,Cemtrex Inc.,Industrial Machinery/Components,2006,284,$317.39,true,true,true,false,false,true,$4.28,310,1,Monthly,4.7,true
58,true,Sabre Corporation,"Computer Software: Programming, Data Processing",2002,499,$99.57,true,true,true,false,true,true,$1.16,87,5,Often,4.7,true
59,false,WashingtonFirst Bankshares Inc,Major Banks,2009,547,$341.94,false,false,true,true,true,true,$7.11,284,4,Often,0.0,false
60,true,"Hallmark Financial Services, Inc.",Property-Casualty Insurers,1996,910,$91.96,false,true,true,true,true,false,$2.78,286,10,Seldom,2.7,true
61,true,Gladstone Land Corporation,Real Estate Investment Trusts,1992,77,$172.95,true,false,true,true,false,true,$8.18,235,5,Weekly,1.6,false
62,true,"CBIZ, Inc.",Business Services,1995,220,$344.51,true,false,true,true,false,false,$3.86,129,10,Seldom,2.4,true
63,false,Progenics Pharmaceuticals Inc.,Major Pharmaceuticals,1987,744,$448.31,true,false,false,true,true,true,$2.09,234,1,Seldom,0.4,false
64,false,GP Strategies Corporation,Other Consumer Services,1986,205,$361.02,true,false,false,true,true,true,$7.85,275,3,Once,4.6,true
65,false,Pool Corporation,Industrial Specialties,1999,147,$181.85,false,true,false,false,false,true,$8.25,283,11,Never,1.1,true
66,true,OHA Investment Corporation,n/a,2002,189,$310.59,true,false,false,true,false,false,$0.17,356,2,Monthly,4.0,false
67,true,"Alico, Inc.",Farming/Seeds/Milling,2006,833,$273.13,true,false,false,true,true,false,$0.00,141,11,Yearly,4.5,false
68,false,"AmTrust Financial Services, Inc.",n/a,1993,441,$123.37,true,false,false,false,false,true,$1.87,88,2,Daily,2.3,false
69,true,Laboratory Corporation of America Holdings,Medical Specialities,1995,191,$456.21,true,true,false,false,true,true,$9.86,113,3,Yearly,0.4,true
70,false,Cimpress N.V,Publishing,1998,249,$351.52,true,false,false,true,false,true,$0.88,110,3,Often,0.3,false
71,true,Guggenheim Taxable Municipal Managed Duration Trst,n/a,1995,653,$104.97,true,true,true,true,false,false,$7.97,87,3,Monthly,4.6,false
72,true,"Bridgepoint Education, Inc.",Other Consumer Services,1992,790,$441.11,true,true,true,false,false,true,$4.95,205,3,Weekly,2.3,false
73,false,"Conifer Holdings, Inc.",Property-Casualty Insurers,2009,573,$175.34,true,false,false,false,true,true,$2.14,261,11,Daily,4.7,true
74,true,"Extreme Networks, Inc.",Computer Communications Equipment,2004,330,$337.33,true,true,false,true,true,true,$4.10,88,3,Often,3.8,true
75,false,"CryoPort, Inc.",Oil Refining/Marketing,2010,382,$187.45,false,false,true,true,false,true,$5.29,109,10,Daily,3.4,false
76,true,Optibase Ltd.,Real Estate,1997,199,$58.80,false,false,true,false,true,true,$8.20,4,10,Daily,4.7,false
77,true,"Donegal Group, Inc.",Property-Casualty Insurers,1989,882,$337.97,false,true,true,true,false,true,$9.09,157,4,Once,3.1,false
78,false,"Houlihan Lokey, Inc.",Investment Managers,2009,30,$311.59,true,true,false,false,false,true,$3.25,267,8,Seldom,2.9,false
79,true,DragonWave Inc,Telecommunications Equipment,2004,674,$116.95,false,true,false,true,true,false,$6.67,250,9,Seldom,3.9,true
80,false,Silver Run Acquisition Corporation II,Business Services,1984,126,$448.58,false,false,true,false,false,false,$4.65,215,2,Weekly,0.8,true
81,true,Lehman ABS Corporation,Finance: Consumer Services,1995,243,$172.69,true,false,false,false,true,false,$2.71,187,2,Never,1.5,true
82,true,Manulife Financial Corp,Life Insurance,2002,462,$314.86,false,false,true,true,true,true,$9.93,142,9,Weekly,1.2,false
83,false,"SiteOne Landscape Supply, Inc.",Farming/Seeds/Milling,2003,852,$98.27,false,false,true,true,false,false,$7.79,341,7,Once,4.8,false
84,true,"Knoll, Inc.",Office Equipment/Supplies/Services,2010,221,$160.43,false,false,true,true,true,false,$5.31,211,5,Never,3.9,true
85,false,Navigator Holdings Ltd.,Marine Transportation,1993,911,$384.08,true,true,false,true,false,true,$3.72,63,2,Often,4.6,false
86,true,"Goldman Sachs Group, Inc. (The)",n/a,2005,719,$192.84,true,false,true,true,true,false,$1.00,12,2,Yearly,3.3,false
87,true,"Quality Systems, Inc.",EDP Services,1999,535,$12.99,true,false,false,false,false,true,$3.83,232,1,Daily,1.6,false
88,false,CyberOptics Corporation,Electronic Components,1989,465,$35.25,true,false,false,true,false,true,$4.77,317,1,Never,4.0,false
89,true,Kimberly-Clark Corporation,Containers/Packaging,1998,359,$92.66,true,false,true,false,true,true,$7.56,305,2,Never,1.7,true
90,false,"Southside Bancshares, Inc.",Major Banks,2006,385,$478.66,false,true,false,true,true,true,$6.24,162,2,Yearly,4.8,false
91,false,"LEAP THERAPEUTICS, INC.",Biotechnology: Biological Products (No Diagnostic Substances),2001,917,$165.37,false,false,false,true,true,true,$6.80,47,5,Daily,2.1,false
92,false,Landec Corporation,Major Chemicals,2005,675,$67.44,false,true,true,true,false,false,$3.67,88,2,Daily,4.2,false
93,false,PIMCO California Municipal Income Fund III,n/a,2008,222,$222.89,false,true,true,true,true,false,$9.97,24,10,Yearly,0.7,true
